R001|G001|S001|2020-10-10|2020-10-15|1|495.0|CONFIRMED|12345001|0.0
R002|G002|S001|2020-10-16|2020-10-18|1|198.0|CONFIRMED|12345002|0.0
R003|G003|S002|2020-10-10|2020-10-15|1|495.0|CHECKED_OUT|12345003|100.0
R004|G004|V002|2020-10-10|2020-10-15|1|4750.0|CHECKED_OUT|12345004|100.0
R005|G005|V001|2020-10-10|2020-10-15|1|4750.0|CHECKED_OUT|12345005|100.0
R006|G006|R201|2020-10-10|2020-10-15|1|1400.0|CHECKED_OUT|12345006|100.0
R007|G009|R101|2005-08-19|2005-08-29|2|1800.0|CHECKED_OUT|12345007|100.0
R008|G010|V001|2005-10-12|2005-10-15|4|2850.0|CHECKED_OUT|12345008|100.0
R009|G011|V002|2005-10-12|2005-10-13|8|950.0|CHECKED_OUT|12345009|100.0
R010|G012|R101|2004-10-12|2004-10-13|2|180.0|CHECKED_IN|12345010|100.0
